sku_id,sku_name,category_l1,category_l2,brand,default_vendor_id,launch_date,discontinue_date,unit_cost,list_price,gross_margin_rate,shelf_life_days,base_weekly_demand,demand_volatility_tier,moq_qty,order_multiple,min_order_amount,active_flag
SKU0001,Mellow Dew Hydrating Toner,Beauty,Skincare,Mellow Dew,V006,2022-10-03,,18121.84,42900.0,0.5776,900,56,LOW,30,6,543655.2,1
SKU0002,Pure Seoul Barrier Cream,Beauty,Skincare,Pure Seoul,V002,2023-01-20,,21276.26,47900.0,0.5558,900,62,MEDIUM,120,24,2553151.2,1
SKU0003,Aurelia Vitamin Serum,Beauty,Skincare,Aurelia,V002,2023-07-30,,21182.09,48900.0,0.5668,730,118,LOW,36,6,762555.24,1
SKU0004,Mellow Dew Daily Sunscreen,Beauty,Skincare,Mellow Dew,V006,2022-02-09,,5569.07,12900.0,0.5683,900,130,MEDIUM,72,12,400973.04,1
SKU0005,Pure Seoul Repair Shampoo,Beauty,Haircare,Pure Seoul,V001,2024-07-27,,14242.87,31900.0,0.5535,900,147,MEDIUM,36,6,512743.32,1
SKU0006,Aurelia Volume Conditioner,Beauty,Haircare,Aurelia,V002,2024-09-08,,8028.94,16900.0,0.5249,730,145,HIGH,24,6,192694.56,1
SKU0007,Mellow Dew Scalp Treatment,Beauty,Haircare,Mellow Dew,V001,2022-11-17,,8038.75,12900.0,0.3768,730,107,MEDIUM,72,24,578790.0,1
SKU0008,Pure Seoul Velvet Lip Tint,Beauty,Makeup,Pure Seoul,V001,2021-08-23,,24094.71,43900.0,0.4511,730,157,MEDIUM,24,6,578273.04,1
SKU0009,Aurelia Glow Cushion,Beauty,Makeup,Aurelia,V001,2024-03-20,,17983.83,31900.0,0.4362,900,166,MEDIUM,144,24,2589671.52,1
SKU0010,Mellow Dew Brow Pencil,Beauty,Makeup,Mellow Dew,V002,2024-03-09,,13488.05,19900.0,0.3222,1095,151,MEDIUM,36,6,485569.8,1
SKU0011,Core Balance Daily Multivitamin,Health,Supplements,Core Balance,V003,2022-11-02,,19305.41,37900.0,0.4906,540,34,LOW,30,6,579162.3,1
SKU0012,Wellnest Vitamin C Tablets,Health,Supplements,Wellnest,V007,2021-04-26,,17303.55,33900.0,0.4896,540,121,MEDIUM,120,24,2076426.0,1
SKU0013,VitaRoot Omega Three Capsules,Health,Supplements,VitaRoot,V003,2022-03-20,,33470.66,49900.0,0.3292,365,71,LOW,24,6,803295.84,1
SKU0014,Core Balance Probiotic Sachets,Health,Supplements,Core Balance,V007,2024-04-14,,32259.38,52900.0,0.3902,365,36,LOW,72,12,2322675.36,1
